machine_id,step,rf_proba,will_fail
M037,136,0.8183658276875487,True
M013,505,0.8064103686894476,True
M030,372,0.7984944032758002,True
M010,691,0.7807605995549429,True
M003,345,0.5085680594275839,True
M014,574,0.3941199538415697,True
M015,573,0.31098478874087965,True
M006,137,0.2740602718288686,True
M002,273,0.2543497193880251,True
M024,266,0.25124327223471704,True
M022,654,0.24960649244710373,True
M016,697,0.1632057932656423,True
M029,216,0.1587354345578576,True
M039,337,0.12133206883433532,True
M018,349,0.08459374983891413,True
M027,407,0.0663209631694149,True
M032,305,0.06024101123222935,True
M001,281,0.05952930485406796,True
M036,591,0.046033868649828336,True
M031,719,0.0418255886445986,True
M028,719,0.0049476810105864985,False
M026,719,0.0,False
M009,719,0.0,False
M035,719,0.0,False
M007,719,0.0,False
M025,719,0.0,False
M011,719,0.0,False
M034,719,0.0,False
M012,719,0.0,False
M000,719,0.0,False
M005,719,0.0,False
M023,719,0.0,False
M033,719,0.0,False
M017,719,0.0,False
M004,719,0.0,False
M038,719,0.0,False
M019,719,0.0,False
M020,719,0.0,False
M008,719,0.0,False
M021,719,0.0,False
